customer_id	first_name	last_name	loyalty_tier	total_orders	total_units	lifetime_value_inr	customer_aov_inr
C00139	Wishi	Sathe	Bronze	12	61	199427.50	16618.96
C00140	Karan	Mani	Silver	9	50	134332.50	14925.83
C00141	Wriddhish	Dutt	Platinum	7	44	152712.50	21816.07
C00142	Umang	Comar	Bronze	4	23	89272.50	22318.13
C00143	Wishi	Manne	Bronze	7	23	65377.50	9339.64
C00144	Tanmayi	Dhillon	Bronze	10	54	183435.00	18343.50
C00145	Laban	Boase	Bronze	3	19	90757.50	30252.50
C00146	Aarnav	Mandal	Bronze	8	45	176357.50	22044.69
C00147	Veda	Pai	Silver	12	52	137332.50	11444.38
C00148	William	Rajagopal	Bronze	11	52	135797.50	12345.23
C00149	Urvashi	Raj	Silver	12	73	262305.00	21858.75
C00150	Jonathan	Thakkar	Bronze	17	73	253680.00	14922.35
C00151	Tanmayi	Aurora	Bronze	5	28	121307.50	24261.50
C00152	Upasna	Lanka	Bronze	12	54	160665.00	13388.75
C00153	Lajita	Nadig	Bronze	7	38	96705.00	13815.00
C00154	Wahab	Mani	Bronze	7	27	76855.00	10979.29
C00155	Harish	Sawhney	Bronze	8	47	158205.00	19775.63
C00156	Ekta	Bhalla	Gold	12	55	126447.50	10537.29
C00157	Yash	Wali	Gold	8	54	139872.50	17484.06
C00158	Farhan	Raja	Bronze	7	23	72002.50	10286.07
C00159	Triya	Kumar	Bronze	5	26	69225.00	13845.00
C00160	Udyati	Mani	Bronze	10	54	219200.00	21920.00
C00161	Chandani	Samra	Silver	7	35	90970.00	12995.71
C00162	Vasudha	Chhabra	Bronze	11	53	177107.50	16100.68
C00163	Chakrika	Merchant	Silver	8	47	164027.50	20503.44
C00164	Chandran	Taneja	Bronze	9	39	138697.50	15410.83
C00165	Ranveer	Krishna	Bronze	15	83	278255.00	18550.33
C00166	Ridhi	Bandi	Bronze	11	71	223012.50	20273.86
C00167	Ojasvi	Gill	Bronze	11	60	210247.50	19113.41
C00168	Yachana	Mahajan	Bronze	8	43	132105.00	16513.13
C00169	Hamsini	Contractor	Bronze	7	33	101235.00	14462.14
C00170	Mekhala	Pau	Silver	8	45	127272.50	15909.06
C00171	Jatin	Sha	Bronze	13	86	270642.50	20818.65
C00172	Kamya	Chokshi	Silver	10	32	83005.00	8300.50
C00173	Falak	Kant	Silver	8	34	160637.50	20079.69
C00174	Nilima	Dada	Bronze	10	42	119082.50	11908.25
C00175	Waida	D’Alia	Silver	13	65	177295.00	13638.08
C00176	Sudiksha	Prabhakar	Bronze	7	31	101097.50	14442.50
C00177	Hardik	Suri	Bronze	11	53	184537.50	16776.14
C00178	Kamala	Kalla	Bronze	13	60	218512.50	16808.65
C00179	Hardik	Pillai	Silver	8	45	162437.50	20304.69
C00180	Jason	Sha	Silver	15	77	276290.00	18419.33
C00181	Gauri	Kohli	Bronze	10	54	196720.00	19672.00
C00182	Sarthak	Kalita	Bronze	10	50	235720.00	23572.00
C00183	Aarnav	Malhotra	Bronze	10	66	233372.50	23337.25
C00184	Owen	Choudhary	Silver	13	70	196780.00	15136.92
C00185	Wazir	Naik	Silver	6	20	58747.50	9791.25
C00186	Jonathan	Sama	Silver	12	46	149502.50	12458.54
C00187	Janaki	Varghese	Bronze	5	28	83407.50	16681.50
C00188	Caleb	Verma	Bronze	10	50	139265.00	13926.50
C00189	Neelima	Sandhu	Bronze	12	62	190302.50	15858.54
C00190	Faris	Nagy	Bronze	9	40	172295.00	19143.89
C00191	Ekta	Raj	Bronze	16	77	204840.00	12802.50
C00192	Hardik	Contractor	Bronze	11	62	185902.50	16900.23
C00193	Odika	Nori	Silver	7	32	94847.50	13549.64
C00194	Girish	Munshi	Bronze	15	71	210597.50	14039.83
C00195	Kavya	Dua	Silver	2	9	25575.00	12787.50
C00196	Girik	Sankaran	Gold	11	62	208235.00	18930.45
C00197	Darpan	Narayan	Bronze	12	75	246515.00	20542.92
C00198	Pallavi	Behl	Bronze	9	47	141602.50	15733.61
C00199	Yashica	Kala	Bronze	17	78	244352.50	14373.68
C00200	Inaya	Pillai	Bronze	5	23	64992.50	12998.50
C00201	Atharv	Loke	Gold	9	29	82197.50	9133.06
C00202	Dayamai	Nori	Bronze	5	26	84865.00	16973.00
C00203	Nandini	Boase	Bronze	4	23	64902.50	16225.63
C00204	Tanveer	Puri	Gold	10	56	179070.00	17907.00
C00205	Kala	Muni	Bronze	5	22	57067.50	11413.50
C00206	Chandran	Bumb	Bronze	9	38	103967.50	11551.94
C00207	Riya	Sachdeva	Silver	9	43	132310.00	14701.11
C00208	Qushi	Choudhry	Bronze	11	55	154975.00	14088.64
C00209	Thomas	Rana	Silver	16	92	295190.00	18449.38
C00210	Siddharth	Devan	Gold	7	32	100622.50	14374.64
C00211	Widisha	Sani	Bronze	7	33	105052.50	15007.50
C00212	Victor	Tella	Bronze	12	43	120992.50	10082.71
C00213	Anirudh	Sharaf	Gold	10	49	147512.50	14751.25
C00214	Nidhi	Sahni	Bronze	13	83	287390.00	22106.92
C00215	Onveer	Sharma	Gold	6	34	118130.00	19688.33
C00216	Rajata	Rattan	Silver	16	99	362612.50	22663.28
C00217	Harinakshi	Kant	Bronze	9	45	182642.50	20293.61
C00218	Ishaan	Wali	Bronze	9	62	188990.00	20998.89
C00219	Manbir	Keer	Bronze	5	24	99267.50	19853.50
C00220	Oscar	Dua	Bronze	12	64	173655.00	14471.25
C00221	Saumya	Naidu	Silver	8	43	158897.50	19862.19
C00222	Riya	Mitter	Bronze	8	43	196662.50	24582.81
C00223	Dayita	Shenoy	Bronze	9	46	141185.00	15687.22
C00224	Bhavini	Bose	Silver	10	60	211637.50	21163.75
C00225	Benjamin	Sengupta	Bronze	11	44	180365.00	16396.82
C00226	Matthew	Bhatia	Silver	16	92	300320.00	18770.00
C00227	Frado	Thaman	Bronze	9	36	140782.50	15642.50
C00228	Raksha	Sarna	Silver	9	43	127290.00	14143.33
C00229	Lila	Rege	Bronze	9	43	136617.50	15179.72
C00230	Girindra	Raju	Bronze	8	45	152332.50	19041.56
C00231	Finn	Dhaliwal	Gold	11	49	134950.00	12268.18
C00232	Frado	Mukherjee	Bronze	12	71	213930.00	17827.50
C00233	Girik	Sampath	Silver	6	37	129602.50	21600.42
C00234	Tanish	Om	Bronze	12	54	197157.50	16429.79
C00235	Mohammed	Brahmbhatt	Gold	8	24	74807.50	9350.94
C00236	Baljiwan	Nayar	Bronze	11	44	149992.50	13635.68
C00237	Pratyush	Gandhi	Bronze	10	55	172350.00	17235.00
C00238	Wazir	Sawhney	Bronze	12	66	244835.00	20402.92
C00239	Dayamai	Singh	Silver	14	68	214722.50	15337.32
C00240	Baghyawati	Raja	Silver	5	26	91830.00	18366.00
C00241	Lakshit	Krishna	Silver	10	46	173050.00	17305.00
C00242	Harshil	Varty	Bronze	14	49	139275.00	9948.21
C00243	Anjali	Sengupta	Bronze	8	54	185877.50	23234.69
C00244	Shravya	Palla	Bronze	8	40	135995.00	16999.38
C00245	Yadavi	Prakash	Bronze	18	96	260272.50	14459.58
C00246	Udarsh	Bala	Silver	9	32	99217.50	11024.17
C00247	Balvan	Mangat	Bronze	10	48	177675.00	17767.50
C00248	Upasna	Sen	Silver	6	32	117762.50	19627.08
C00249	Tanveer	Doctor	Silver	8	32	117092.50	14636.56
C00250	Wazir	Mitra	Bronze	8	49	123825.00	15478.13
C00251	Tanvi	Bhatnagar	Gold	11	65	215230.00	19566.36
C00252	Yutika	Khurana	Silver	10	53	155302.50	15530.25
C00253	Ira	Khosla	Bronze	17	78	291520.00	17148.24
C00254	Frederick	Viswanathan	Gold	8	30	126000.00	15750.00
C00255	Yashica	Bahri	Silver	10	39	118107.50	11810.75
C00256	Lila	Prakash	Bronze	7	40	134522.50	19217.50
C00257	Wridesh	Chawla	Silver	5	34	131570.00	26314.00
C00258	Hamsini	Gill	Silver	10	40	107842.50	10784.25
C00259	Krishna	Bhatnagar	Bronze	8	34	111380.00	13922.50
C00260	Caleb	Iyengar	Bronze	12	65	190610.00	15884.17
C00261	Mitali	Solanki	Silver	9	44	120777.50	13419.72
C00262	Champak	Narula	Bronze	14	72	198450.00	14175.00
C00263	Ria	Raju	Bronze	15	78	274710.00	18314.00
C00264	Zilmil	Loke	Silver	6	23	102190.00	17031.67
C00265	Pranit	Memon	Bronze	11	56	188432.50	17130.23
C00266	Chakrika	Mohan	Gold	10	46	162587.50	16258.75
C00267	Sachi	Panchal	Silver	7	43	129080.00	18440.00
C00268	Radhika	Maharaj	Bronze	11	57	201435.00	18312.27
C00269	Yochana	Dutta	Gold	11	57	134435.00	12221.36
C00270	Jonathan	Bhavsar	Bronze	6	38	119852.50	19975.42
C00271	Bachittar	Dube	Silver	13	46	136540.00	10503.08
C00272	Faraj	Devan	Bronze	7	28	107912.50	15416.07
C00273	Ishaan	Bal	Bronze	20	106	341255.00	17062.75
C00274	Jacob	Lala	Silver	12	71	192340.00	16028.33
C00275	Vritti	Iyengar	Silver	16	79	245927.50	15370.47
C00276	Orinder	Saxena	Platinum	7	46	157552.50	22507.50
C00277	Dhruv	Mannan	Bronze	10	51	189445.00	18944.50
C00278	Udarsh	Dara	Bronze	8	29	61805.00	7725.63
C00279	Atharv	Patel	Bronze	6	29	119625.00	19937.50
C00280	Gabriel	Bhatti	Silver	10	37	135082.50	13508.25
C00281	Nimrat	Borah	Gold	10	53	166800.00	16680.00
C00282	Unnati	Varughese	Bronze	11	57	220112.50	20010.23
C00283	Kai	Sant	Bronze	8	27	121005.00	15125.63
C00284	Daksha	Gala	Platinum	15	76	248427.50	16561.83
C00285	Zilmil	Mander	Gold	9	43	133777.50	14864.17
C00286	Anvi	Dass	Silver	12	74	257290.00	21440.83
C00287	Mitesh	Garg	Bronze	10	51	156867.50	15686.75
C00288	Alka	Kade	Bronze	14	81	277785.00	19841.79
C00289	Bimala	Mittal	Silver	11	63	201172.50	18288.41
C00290	Nidra	Mishra	Bronze	11	55	158805.00	14436.82
C00291	Nakul	Sarraf	Silver	4	17	49462.50	12365.63
C00292	Harini	Dhawan	Silver	13	53	145375.00	11182.69
C00293	Kamala	Varma	Platinum	15	67	208842.50	13922.83
C00294	Jason	Loke	Bronze	13	59	173632.50	13356.35
C00295	Chandresh	Mannan	Gold	10	42	159367.50	15936.75
C00296	Falak	Munshi	Silver	10	66	179915.00	17991.50
C00297	Unni	Tara	Gold	5	23	58317.50	11663.50
C00298	Yashasvi	Shankar	Bronze	12	68	229660.00	19138.33
C00299	Chandresh	Manda	Silver	10	51	159117.50	15911.75
C00300	Abhiram	Chokshi	Gold	4	25	88702.50	22175.63
C00301	Jasmit	Rau	Silver	4	22	56220.00	14055.00
C00302	Robert	Patil	Bronze	2	11	32987.50	16493.75
C00303	Ati	Dani	Bronze	10	66	204827.50	20482.75
C00304	Harinakshi	Pau	Silver	6	22	66087.50	11014.58
C00305	Xiti	Baria	Bronze	11	68	229275.00	20843.18
C00306	Gauri	Som	Bronze	14	75	245852.50	17560.89
C00307	Logan	Narang	Bronze	15	64	229922.50	15328.17
C00308	Chandani	Nayar	Bronze	11	63	225450.00	20495.45
C00309	Jyoti	Narula	Silver	4	31	136232.50	34058.13
C00310	Avi	Som	Gold	11	44	127342.50	11576.59
C00311	Onkar	Viswanathan	Bronze	2	9	35447.50	17723.75
C00312	Azad	Choudhary	Silver	17	85	239045.00	14061.47
C00313	Omya	Doshi	Bronze	5	28	97945.00	19589.00
C00314	Urishilla	Bhatia	Silver	11	51	140225.00	12747.73
C00315	Ekta	Sridhar	Bronze	10	45	118320.00	11832.00
C00316	Hema	Pandya	Bronze	18	86	289727.50	16095.97
C00317	Chanchal	Kar	Silver	5	25	102815.00	20563.00
C00318	Varsha	Palla	Silver	15	80	259802.50	17320.17
C00319	Ladli	Rana	Gold	12	55	171032.50	14252.71
C00320	Farhan	Pal	Bronze	11	47	156165.00	14196.82
C00321	Tanish	Jaggi	Silver	4	27	137445.00	34361.25
C00322	Wriddhish	Kibe	Silver	6	28	88822.50	14803.75
C00323	Viraj	Ben	Bronze	10	52	187582.50	18758.25
C00324	Urmi	Chaudhry	Gold	13	62	231285.00	17791.15
C00325	Vamakshi	Sood	Gold	3	11	43192.50	14397.50
C00326	Daniel	Chakraborty	Gold	10	59	235105.00	23510.50
C00327	Patrick	Bansal	Bronze	11	55	166957.50	15177.95
C00328	Bimala	Barad	Silver	11	50	116660.00	10605.45
C00329	Bhavani	Sha	Bronze	9	45	144860.00	16095.56
C00330	Anjali	Hans	Silver	6	34	99875.00	16645.83
C00331	Tara	Kurian	Silver	10	55	179122.50	17912.25
C00332	Reyansh	Gill	Bronze	9	48	182617.50	20290.83
C00333	Gabriel	Rattan	Bronze	10	38	120192.50	12019.25
C00334	Ekiya	Kothari	Gold	8	44	125995.00	15749.38
C00335	Sanya	Loke	Silver	12	55	191332.50	15944.38
C00336	Advika	Parsa	Silver	9	52	153390.00	17043.33
C00337	Damyanti	Dutta	Silver	9	40	98412.50	10934.72
C00338	Jacob	Merchant	Silver	6	40	107495.00	17915.83
C00339	Michael	Sha	Bronze	6	24	91935.00	15322.50
C00340	Tejas	Kota	Bronze	10	41	109040.00	10904.00
C00341	Janaki	Brahmbhatt	Bronze	10	52	182302.50	18230.25
C00342	Mason	Gala	Bronze	8	40	121197.50	15149.69
C00343	Samesh	Suresh	Bronze	9	44	116465.00	12940.56
C00344	Sudiksha	Deo	Bronze	18	100	292227.50	16234.86
C00345	Turvi	Morar	Gold	11	53	163300.00	14845.45
C00346	Tejas	Bora	Bronze	6	26	84122.50	14020.42
C00347	Devansh	Bhasin	Gold	8	31	70537.50	8817.19
C00348	Nilima	Gole	Platinum	11	53	157515.00	14319.55
C00349	Saumya	Purohit	Silver	5	26	59255.00	11851.00
C00350	Kiaan	Pall	Bronze	11	76	242017.50	22001.59
C00351	Joshua	Kapoor	Silver	11	56	215347.50	19577.05
C00352	Panini	Wali	Silver	10	51	168720.00	16872.00
C00353	Hiral	Dubey	Gold	10	65	235312.50	23531.25
C00354	Oni	Babu	Platinum	10	46	128500.00	12850.00
C00355	Bahadurjit	Sekhon	Bronze	6	20	73527.50	12254.58
C00356	Reva	Kaur	Gold	9	51	151280.00	16808.89
C00357	Bimala	Kaur	Platinum	12	58	204772.50	17064.38
C00358	Timothy	Sachdev	Bronze	9	43	137562.50	15284.72
C00359	Parth	Sane	Silver	16	67	204547.50	12784.22
C00360	Lakshmi	Vohra	Silver	11	53	185825.00	16893.18
C00361	Krisha	Gour	Silver	5	22	56637.50	11327.50
C00362	Maanas	Sheth	Bronze	5	22	67552.50	13510.50
C00363	Krish	Rama	Silver	11	40	109887.50	9989.77
C00364	Farhan	Sengupta	Bronze	11	57	186957.50	16996.14
C00365	Amrita	Purohit	Bronze	16	82	261577.50	16348.59
C00366	Teerth	Srinivas	Gold	7	35	89975.00	12853.57
C00367	Siddharth	Gupta	Bronze	7	42	158045.00	22577.86
C00368	Samarth	Ranganathan	Bronze	7	26	85812.50	12258.93
C00369	Unnati	Walla	Platinum	7	39	97595.00	13942.14
C00370	Widisha	Shukla	Bronze	10	39	113750.00	11375.00
C00371	Kamala	Munshi	Bronze	6	37	126850.00	21141.67
C00372	Madhav	Babu	Bronze	11	56	176250.00	16022.73
C00373	Forum	Karpe	Silver	11	50	152047.50	13822.50
C00374	Geetika	Kurian	Bronze	11	62	228030.00	20730.00
C00375	Indira	Gara	Silver	10	44	148945.00	14894.50
C00376	Daniel	Viswanathan	Bronze	9	42	101952.50	11328.06
C00377	Nitara	Devan	Silver	16	77	235367.50	14710.47
C00378	Tejas	Tiwari	Platinum	4	20	61892.50	15473.13
C00379	Vasudha	Sura	Silver	14	60	207762.50	14840.18
C00380	Anay	Wagle	Bronze	10	59	179747.50	17974.75
C00381	Qushi	Gola	Bronze	8	27	66960.00	8370.00
C00382	Rehaan	Vyas	Bronze	9	31	83900.00	9322.22
C00383	Kashvi	Ravi	Silver	14	63	227320.00	16237.14
C00384	Charita	Buch	Gold	7	42	133682.50	19097.50
C00385	Krishna	Soni	Silver	9	49	141322.50	15702.50
C00386	Xalak	Saraf	Bronze	14	74	275830.00	19702.14
C00387	Siddharth	Soman	Bronze	17	88	315175.00	18539.71
C00388	Bachittar	Gola	Silver	9	64	202582.50	22509.17
C00389	Mitali	Bose	Gold	9	47	180877.50	20097.50
C00390	Lopa	Zachariah	Bronze	11	53	178312.50	16210.23
C00391	Hiral	Bera	Gold	11	75	242235.00	22021.36
C00392	Harini	Ranganathan	Silver	15	70	201505.00	13433.67
C00393	Vedant	Parekh	Platinum	9	48	186765.00	20751.67
C00394	Lajita	Chada	Silver	9	36	140452.50	15605.83
C00395	Mitesh	Rai	Bronze	12	58	183352.50	15279.38
C00396	Hredhaan	Chand	Bronze	9	43	112677.50	12519.72
C00397	Anamika	Chaudry	Silver	5	32	88180.00	17636.00
C00398	Saumya	Vala	Gold	12	73	249097.50	20758.13
C00399	Irya	Chander	Silver	8	38	99275.00	12409.38
C00400	Lipika	Chad	Gold	5	25	72272.50	14454.50
C00401	Liam	Luthra	Bronze	5	15	42192.50	8438.50
C00402	Oliver	Saran	Silver	11	56	166392.50	15126.59
C00403	Jalsa	Krishnamurthy	Silver	11	48	134200.00	12200.00
C00404	Hredhaan	Deshmukh	Silver	7	18	59090.00	8441.43
C00405	Lajita	Narayan	Silver	11	56	164890.00	14990.00
C00406	Laban	Mital	Platinum	7	35	133880.00	19125.71
C00407	Mitali	Nagar	Bronze	7	33	112692.50	16098.93
C00408	Krisha	Mand	Gold	9	42	152872.50	16985.83
C00409	Ryan	Gole	Silver	10	48	139265.00	13926.50
C00410	Bishakha	Biswas	Bronze	13	57	165155.00	12704.23
C00411	Chavvi	Khurana	Silver	8	39	106840.00	13355.00
C00412	Saumya	Srinivas	Silver	8	43	123317.50	15414.69
C00413	Omya	Bansal	Silver	8	47	148122.50	18515.31
C00414	Isha	Ganesan	Bronze	16	88	311960.00	19497.50
C00415	Hitesh	Anne	Silver	8	42	127235.00	15904.38
C00416	Zilmil	Kant	Silver	6	33	107662.50	17943.75
C00417	Xiti	Dora	Silver	16	65	171452.50	10715.78
C00418	Ojasvi	Chada	Bronze	9	39	120600.00	13400.00
C00419	Hemal	Shah	Bronze	2	7	25595.00	12797.50
C00420	Gunbir	Sarma	Silver	7	45	141775.00	20253.57
C00421	Chaitanya	Contractor	Bronze	13	60	217195.00	16707.31
C00422	Nitesh	Kohli	Gold	12	60	244855.00	20404.58
C00423	Pooja	Shere	Gold	11	64	240142.50	21831.14
C00424	Rachana	Randhawa	Bronze	8	35	120340.00	15042.50
C00425	Pushti	Ramachandran	Silver	6	35	107242.50	17873.75
C00426	Dev	Chaudry	Silver	9	51	200832.50	22314.72
C00427	Tanvi	Comar	Silver	13	50	154367.50	11874.42
